mc_id,location_id,version,geometry,events,pure_class,mixed_dominant_class,mixed_second_dominant_class,s2_l2_bands,era5,cci_landcover_map,copernicus_dem,de_africa_climatology,event_arrays,s2cloudless_cloudmask,sen2cor_cloudmask,unetmobv2_cloudmask,earthnet_cloudmask,remarks,continent
mc_-121.38_36.60_1.3_20230910_0,-121.38_36.60,1.3,"POLYGON ((-121.40003534749961 36.58626170217458, -121.36940498434663 36.58626170217458, -121.36940498434663 36.610959554833904, -121.40003534749961 36.610959554833904, -121.40003534749961 36.58626170217458))",[],-,needletree,grassland,1.4,1,2.2,2,-1,2.1,-1.0,-1,-1,1.1,,North_America
mc_-121.38_36.72_1.3_20230910_0,-121.38_36.72,1.3,"POLYGON ((-121.3917310690898 36.71125850952638, -121.36104257098619 36.71125850952638, -121.36104257098619 36.735962741716996, -121.3917310690898 36.735962741716996, -121.3917310690898 36.71125850952638))",[],-,needletree,grassland,1.4,1,2.2,2,-1,2.1,-1.0,-1,-1,1.1,,North_America
mc_-121.38_45.72_1.3_20230910_0,-121.38_45.72,1.3,"POLYGON ((-121.40258132043029 45.70554251915828, -121.36685659690943 45.70554251915828, -121.36685659690943 45.73056709618977, -121.40258132043029 45.73056709618977, -121.40258132043029 45.70554251915828))","[(20651, '2019-07-22', '2019-07-26')]",-,needletree,grassland,1.4,1,2.2,2,-1,2.1,-1.0,-1,-1,1.1,,North_America
mc_-121.38_46.12_1.3_20230910_0,-121.38_46.12,1.3,"POLYGON ((-121.39994439357119 46.10831336635943, -121.36393782366198 46.10831336635943, -121.36393782366198 46.13335176218664, -121.39994439357119 46.13335176218664, -121.39994439357119 46.10831336635943))","[(37690, '2021-07-29', '2021-08-02')]",-,needletree,grassland,1.4,1,2.2,2,-1,2.1,-1.0,-1,-1,1.1,,North_America
mc_-121.40_38.73_1.3_20230910_0,-121.40_38.73,1.3,"POLYGON ((-121.4116471388042 38.71955546167186, -121.38001495718092 38.71955546167186, -121.38001495718092 38.74433234541302, -121.4116471388042 38.74433234541302, -121.4116471388042 38.71955546167186))",[],-,grassland,urban,1.4,1,2.2,2,-1,2.1,-1.0,-1,-1,1.1,,North_America
mc_-121.40_46.07_1.3_20230910_0,-121.40_46.07,1.3,"POLYGON ((-121.41381336778018 46.058315805112734, -121.37784664619227 46.058315805112734, -121.37784664619227 46.083349325193645, -121.41381336778018 46.083349325193645, -121.41381336778018 46.058315805112734))","[(15166, '2018-08-07', '2018-08-12')]",-,needletree,grassland,1.4,1,2.2,2,-1,2.1,-1.0,-1,-1,1.1,,North_America
mc_-121.42_36.85_1.3_20230910_0,-121.42_36.85,1.3,"POLYGON ((-121.43619862970066 36.836260221383355, -121.40546387191569 36.836260221383355, -121.40546387191569 36.860961018676626, -121.43619862970066 36.860961018676626, -121.43619862970066 36.836260221383355))",[],-,urban,grassland,1.4,1,2.2,2,-1,2.1,-1.0,-1,-1,1.1,,North_America
mc_-121.45_42.81_1.3_20230910_0,-121.45_42.81,1.3,"POLYGON ((-121.46830265296221 42.79448796295718, -121.43446951217227 42.79448796295718, -121.43446951217227 42.819399600415124, -121.46830265296221 42.819399600415124, -121.46830265296221 42.79448796295718))",[],-,needletree,grassland,1.4,1,2.2,2,-1,2.1,-1.0,-1,-1,1.1,,North_America
mc_-121.45_46.55_1.3_20230910_0,-121.45_46.55,1.3,"POLYGON ((-121.47230552558914 46.53331498682468, -121.43602099487744 46.53331498682468, -121.43602099487744 46.55835010419628, -121.47230552558914 46.55835010419628, -121.47230552558914 46.53331498682468))","[(37690, '2021-07-29', '2021-08-02')]",-,needletree,soil,1.4,1,2.2,2,-1,2.1,-1.0,-1,-1,1.1,,North_America
mc_-121.50_46.26_1.3_20230910_0,-121.50_46.26,1.3,"POLYGON ((-121.51941669585206 46.24443628736368, -121.48335436556853 46.24443628736368, -121.48335436556853 46.26945103790901, -121.51941669585206 46.26945103790901, -121.51941669585206 46.24443628736368))","[(15166, '2018-08-07', '2018-08-12'), (20651, '2019-07-22', '2019-07-26')]",-,needletree,soil,1.4,1,2.2,2,-1,2.1,-1.0,-1,-1,1.1,,North_America
